name,type,description,address,google_maps_url,area,sub_area,lat,lng,website,phone,email,openingHours,images,geocode_status
A White Space,Art Galleries,"Fully-serviced event/retail/exhibition space run by A Whitespace Creative Agency (AWCA), used for short-lease art, fashion, music and lifestyle installations/exhibitions in Ikoyi.","58 Raymond Njoku Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=A%20White%20Space%2C%2058%20Raymond%20Njoku%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4416159,3.4188197,,+23414544987,team@aw-ca.com,,[],Success (Google)
Adeline Gallery,Art Galleries,"Contemporary art gallery in Ikoyi showcasing works by African artists, blending traditional and modern styles.","1B Adeyemi Lawson, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Adeline%20Gallery%2C%201B%20Adeyemi%20Lawson%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.445767699999999,3.4436924,https://instagram.com/theadelinegallery,,,Tue-Sat 9am-5pm,[],Success (Google)
AINA,Art Galleries,Contemporary art gallery in Ikoyi; confirmed active participant in Lagos Gallery Weekend 2025.,"44 Raymond Njoku Street, Ikoyi, Lagos 106104",https://www.google.com/maps/search/?api=1&query=AINA%2C%2044%20Raymond%20Njoku%20Street%2C%20Ikoyi%2C%20Lagos%20106104,ISLAND,Ikoyi,6.4418544,3.4197407,https://www.instagram.com/aina_lagos_/,,,,[],Success (Google)
Angels and Muse,Art Hubs/Institutions,"Multi-modal creative hub/co-working space founded by artist Victor Ehikhamenor in 2018; artist residency, murals, stained glass, events (featured on Netflix ""Amazing Interiors"").","Norman Williams Street area, Ikoyi, Lagos (exact street number disputed across sources)",https://www.google.com/maps/search/?api=1&query=Angels%20and%20Muse%2C%20Norman%20Williams%20Street%20area%2C%20Ikoyi%2C%20Lagos%20%28exact%20street%20number%20disputed%20across%20sources%29,ISLAND,Ikoyi,6.4436067,3.4188632,,,,,[],Success (Google)
Art House Foundation,Art Hubs/Institutions,"Non-profit artist residency programme in Lagos supporting contemporary Nigerian and African artists, founded by Kavita Chellaram in 2015.","36 Cameron Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Art%20House%20Foundation%2C%2036%20Cameron%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4568951,3.4332134,https://arthouse-ng.com,2348055099096.0,,,"[""public/uploads/institutions/art-house-foundation/image-1.jpg"",""public/uploads/institutions/art-house-foundation/image-2.png""]",Success (Google)
Arthouse Contemporary,Art Galleries,Contemporary art gallery and auction house in Ikoyi founded by Kavita Chellaram. One of Nigeria's leading auction platforms.,"36 Cameron Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Arthouse%20Contemporary%2C%2036%20Cameron%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.456879,3.433213,https://arthouse-ng.com,2348055099096.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}","[""public/uploads/institutions/arthouse-contemporary/image-1.jpg"",""public/uploads/institutions/arthouse-contemporary/image-2.png""]",Success (Google)
Bogobiri House,Art Hubs/Institutions,"African-themed boutique hotel and cultural hub in Ikoyi featuring an art gallery, live music, poetry nights and restaurant. Co-owned by Nimbus Gallery's Chike Nwagbogu.","9 Maitama Sule Street, Off Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Bogobiri%20House%2C%209%20Maitama%20Sule%20Street%2C%20Off%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4434862,3.4244928,https://bogobiri.com,2347068176454.0,info@bogobiri.com,"{""mon"":""8am-11pm"",""tue"":""8am-11pm"",""wed"":""8am-11pm"",""thu"":""8am-11pm"",""fri"":""8am-11pm"",""sat"":""8am-11pm"",""sun"":""8am-11pm""}",[],Success (Google)
Brilliant Brush Gallery,Art Galleries,Registered art centre in Ikoyi founded as an offshoot of the Osigwe Anyiam-Osigwe Foundation by Kennedy Anyiam-Osigwe (Chairman); exhibits and sells African artworks and paintings.,"9A Raymond Njoku Street, S/W Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Brilliant%20Brush%20Gallery%2C%209A%20Raymond%20Njoku%20Street%2C%20S/W%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.442600400000001,3.4251012,https://brilliantbrushgallery.com,+2348174018656,,,[],Success (Google)
Jazzhole,Art Hubs/Institutions,"A bookstore, record shop and cafe in Ikoyi founded by Kunle Tejuosho as an offshoot of the Glendora bookstore chain; hosts monthly art exhibitions, live jazz evenings, and holds a notable collection of African books, records and artworks.","168 Awolowo Road, Ikoyi, Lagos 106104",https://www.google.com/maps/search/?api=1&query=Jazzhole%2C%20168%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos%20106104,ISLAND,Ikoyi,6.4430801,3.4218455,https://www.jazzholelagos.org,+2347060648580,jazzhole@glendorabooks.net,Mon-Sat 9:30am-7pm; Sun 12pm-6pm (verify),[],Success (Google)
Ko Art Space,Art Galleries,Intimate contemporary art gallery founded by Kavita Chellaram. Champions Nigeria's leading modern artists alongside emerging contemporary African talent. Distinctive art deco interior.,"36 Cameron Road Flat 1A, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Ko%20Art%20Space%2C%2036%20Cameron%20Road%20Flat%201A%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4568802,3.4331391,https://ko-artspace.com,2347030728371.0,info@ko-artspace.com,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}","[""public/uploads/institutions/ko-art-space/image-1.webp""]",Success (Google)
Kokopelli Gallery,Art Galleries,"Modern/contemporary art gallery established in 2021, multi-roomed space including ""The Grotto"" immersive storytelling installation; hosts regular solo and group exhibitions of Nigerian/African artists.","17 Ademola Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Kokopelli%20Gallery%2C%2017%20Ademola%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4419084,3.4135015,https://kokopelliafrica.com,+2349096697069,gallery@kokopelliafrica.com,Sun-Mon 2pm-5pm; Tue-Sat 10am-6pm,[],Success (Google)
Mydrim Gallery,Art Galleries,Established gallery in Ikoyi by Sinmidele Ogunsanya hosting temporary exhibitions and permanent displays of contemporary and traditional Nigerian art.,"74B Norman Williams Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Mydrim%20Gallery%2C%2074B%20Norman%20Williams%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4442219,3.4176756,https://mydrimgallery.com,2348051832375.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[],Success (Google)
Nimbus Gallery,Art Galleries,Long-established gallery opened 1991 in Ikoyi by Chike Nwagbogu. Hosts temporary exhibitions of contemporary and modern Nigerian art.,"9 Maitama Sule Street, Off Awolowo Road, South-West Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Nimbus%20Gallery%2C%209%20Maitama%20Sule%20Street%2C%20Off%20Awolowo%20Road%2C%20South-West%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.443363799999999,3.4243819,https://nimbusgallery.com,2349028130421.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[],Success (Google)
Ogirikan Art Gallery,Art Galleries,Contemporary African art space in Ikoyi making quality artwork accessible to collectors and enthusiasts. Located on Raymond Njoku Street.,"Raymond Njoku Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Ogirikan%20Art%20Gallery%2C%20Raymond%20Njoku%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4418975,3.4206215,,,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[],Success (Google)
Omenka Gallery,Art Galleries,"Contemporary Nigerian art gallery founded by Oliver Enwonwu in 2003, housed in the historic home of Ben Enwonwu. Showcases Nigerian and international artists.","24 Ikoyi Crescent, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Omenka%20Gallery%2C%2024%20Ikoyi%20Crescent%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.464,3.434611,https://www.omenka.gallery,2349090846991.0,info@gallery.omenka.net,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-8pm"",""sun"":""2pm-7pm""}","[""public/uploads/institutions/omenka-gallery/image-1.webp""]",Success (Google)
Quintessence Gallery,Art Galleries,Established gallery in the Parkview Estate Ikoyi neighbourhood hosting temporary exhibitions and permanent displays of fine art.,"First Compound on the right, Parkview Estate Main Gate, Off Gerrard Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Quintessence%20Gallery%2C%20First%20Compound%20on%20the%20right%2C%20Parkview%20Estate%20Main%20Gate%2C%20Off%20Gerrard%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4551893,3.4412171,https://quintessenceltd.com,2348033275401.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}","[""public/uploads/institutions/quintessence-gallery/image-1.jpg"",""public/uploads/institutions/quintessence-gallery/image-2.webp""]",Success (Google)
R2 Space,Art Hubs/Institutions,"The R2 Space is Rele Arts Foundation's year-round artist residency, housed at Rele Gallery's Ikoyi location, offering 1-3 month residencies to mid-career African/diaspora artists, curators, writers and researchers.","32D Thompson Avenue, Ikoyi, Lagos State",https://www.google.com/maps/search/?api=1&query=R2%20Space%2C%2032D%20Thompson%20Avenue%2C%20Ikoyi%2C%20Lagos%20State,ISLAND,Ikoyi,6.456250199999999,3.4350817,https://releartsfoundation.org/r2-residency-program,+2348093215460,art@rele.co,Tue-Sat 11am-6pm,[],Success (Google)
