name,description,type,address,google_maps_url,area,sub_area,lat,lng,website,instagram,phone,email,openingHours
A White Space,"Fully-serviced event/retail/exhibition space run by A Whitespace Creative Agency (AWCA), used for short-lease art, fashion, music and lifestyle installations/exhibitions in Ikoyi.",Art Galleries,"58 Raymond Njoku Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=A%20White%20Space%2C%2058%20Raymond%20Njoku%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4416159,3.4188197,,@awhitespacelagos,+23414544987,team@aw-ca.com,
AINA,Contemporary art gallery in Ikoyi; confirmed active participant in Lagos Gallery Weekend 2025.,Art Galleries,"44 Raymond Njoku Street, Ikoyi, Lagos 106104",https://www.google.com/maps/search/?api=1&query=AINA%2C%2044%20Raymond%20Njoku%20Street%2C%20Ikoyi%2C%20Lagos%20106104,ISLAND,Ikoyi,6.4418544,3.4197407,,@aina_lagos_,,,
Adeline Gallery,"Contemporary art gallery in Ikoyi showcasing works by African artists, blending traditional and modern styles.",Art Galleries,"1 Adeyemi Bero cresent, Ilupeju-Anthony, Ikeja, Lagos",https://www.google.com/maps/search/?api=1&query=Adeline%20Gallery%2C%201%20Adeyemi%20Bero%20cresent%2C%20Ilupeju-Anthony%2C%20Ikeja%2C%20Lagos,MAINLAND,Mainland,6.5603064,3.3610438,,@theadelinegallery,,,Tue-Sat 9am-5pm
Angels and Muse,"Multi-modal creative hub/co-working space founded by artist Victor Ehikhamenor in 2018; artist residency, murals, stained glass, events (featured on Netflix ""Amazing Interiors"").",Art Hubs/Institutions,"5 Sumbo Jibowu, off Ribadu Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Angels%20and%20Muse%2C%205%20Sumbo%20Jibowu%2C%20off%20Ribadu%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.443626999999999,3.4188633,https://www.angelsandmuse.org/,@angelsandmuse,,,
Arthouse Contemporary,Contemporary art gallery and auction house in Ikoyi founded by Kavita Chellaram. One of Nigeria's leading auction platforms.,Art Galleries,"36 Cameron Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Arthouse%20Contemporary%2C%2036%20Cameron%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.456879,3.433213,https://arthouse-ng.com,@arthousecontemporary,2348055099096,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Bogobiri House,"African-themed boutique hotel and cultural hub in Ikoyi featuring an art gallery, live music, poetry nights and restaurant. Co-owned by Nimbus Gallery's Chike Nwagbogu.",Art Hubs/Institutions,"9 Maitama Sule Street, Off Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Bogobiri%20House%2C%209%20Maitama%20Sule%20Street%2C%20Off%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4434862,3.4244928,https://bogobiri.com,@bogobirihouse,2347068176454,info@bogobiri.com,"{""mon"":""8am-11pm"",""tue"":""8am-11pm"",""wed"":""8am-11pm"",""thu"":""8am-11pm"",""fri"":""8am-11pm"",""sat"":""8am-11pm"",""sun"":""8am-11pm""}"
Brilliant Brush Gallery,Registered art centre in Ikoyi founded as an offshoot of the Osigwe Anyiam-Osigwe Foundation by Kennedy Anyiam-Osigwe (Chairman); exhibits and sells African artworks and paintings.,Art Galleries,"9A Raymond Njoku Street, S/W Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Brilliant%20Brush%20Gallery%2C%209A%20Raymond%20Njoku%20Street%2C%20S/W%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4426004,3.4251012,https://brilliantbrushgallery.com,@brilliantbrushgallery,+2348174018656,,
Jazzhole,"A bookstore, record shop and cafe in Ikoyi founded by Kunle Tejuosho as an offshoot of the Glendora bookstore chain; hosts monthly art exhibitions, live jazz evenings, and holds a notable collection of African books, records and artworks.",Art Hubs/Institutions,"168 Awolowo Road, Ikoyi, Lagos 106104",https://www.google.com/maps/search/?api=1&query=Jazzhole%2C%20168%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos%20106104,ISLAND,Ikoyi,6.4430801,3.4218455,https://www.jazzholelagos.org,@jazzholelagos,+2347060648580,jazzhole@glendorabooks.net,Mon-Sat 9:30am-7pm; Sun 12pm-6pm (verify)
Ko Art Space,Intimate contemporary art gallery founded by Kavita Chellaram. Champions Nigeria's leading modern artists alongside emerging contemporary African talent. Distinctive art deco interior.,Art Galleries,"36 Cameron Road Flat 1A, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Ko%20Art%20Space%2C%2036%20Cameron%20Road%20Flat%201A%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4568802,3.4331391,https://ko-artspace.com,@ko_artspace,2347030728371,info@ko-artspace.com,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}"
Kokopelli Gallery,"Modern/contemporary art gallery established in 2021, multi-roomed space including ""The Grotto"" immersive storytelling installation; hosts regular solo and group exhibitions of Nigerian/African artists.",Art Galleries,"17 Ademola Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Kokopelli%20Gallery%2C%2017%20Ademola%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4419084,3.4135015,https://kokopelliafrica.com,@thekokopelligallery,+2349096697069,gallery@kokopelliafrica.com,Sun-Mon 2pm-5pm; Tue-Sat 10am-6pm
Mydrim Gallery,Established gallery in Ikoyi by Sinmidele Ogunsanya hosting temporary exhibitions and permanent displays of contemporary and traditional Nigerian art.,Art Galleries,"74B Norman Williams Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Mydrim%20Gallery%2C%2074B%20Norman%20Williams%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4442219,3.4176756,https://mydrimgallery.com,@mydrim_gallery,2348051832375,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Nimbus Gallery,Long-established gallery opened 1991 in Ikoyi by Chike Nwagbogu. Hosts temporary exhibitions of contemporary and modern Nigerian art.,Art Galleries,"9 Maitama Sule Street, Off Awolowo Road, South-West Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Nimbus%20Gallery%2C%209%20Maitama%20Sule%20Street%2C%20Off%20Awolowo%20Road%2C%20South-West%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4433638,3.4243819,https://nimbusgallery.com,@nimbus_art_gallery,2349028130421,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Ogirikan Art Gallery,Contemporary African art space in Ikoyi making quality artwork accessible to collectors and enthusiasts. Located on Raymond Njoku Street.,Art Galleries,"38B, Raymond Njoku Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Ogirikan%20Art%20Gallery%2C%2038B%2C%20Raymond%20Njoku%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4419441,3.4205996,,@ogirikan,,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Omenka Gallery,"Contemporary Nigerian art gallery founded by Oliver Enwonwu in 2003, housed in the historic home of Ben Enwonwu. Showcases Nigerian and international artists.",Art Galleries,"24 Ikoyi Crescent, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Omenka%20Gallery%2C%2024%20Ikoyi%20Crescent%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.464,3.434611,https://www.omenka.gallery,@omenkagallery,2349090846991,info@gallery.omenka.net,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-8pm"",""sun"":""2pm-7pm""}"
Quintessence Gallery,Established gallery in the Parkview Estate Ikoyi neighbourhood hosting temporary exhibitions and permanent displays of fine art.,Art Galleries,"285 Akin Olugbade Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Quintessence%20Gallery%2C%20285%20Akin%20Olugbade%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4310262,3.4219865,https://quintessenceltd.com,@quintessenceng,2348033275401,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
