name,type,description,address,area,lat,lng,website,phone,email,openingHours,images
Nike Art Gallery,ART_GALLERY,"West Africa's largest art gallery owned by Chief Nike Davies-Okundaye, housing over 8000 artworks across five floors. Offers workshops, cultural performances, and bed & breakfast.","2 Nike Art Gallery Rd, Lekki Phase I, Lagos",ISLAND,6.4541,3.4655,https://nikeartfoundation.com,+2348033036969,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""1pm-6pm""}",[]
Omenka Gallery,ART_GALLERY,"Contemporary Nigerian art gallery founded by Oliver Enwonwu in 2003, housed in the historic home of Ben Enwonwu. Showcases Nigerian and international artists.","24 Ikoyi Crescent, Ikoyi, Lagos",ISLAND,6.4638,3.4342,https://www.omenka.gallery,+2349090846991,info@gallery.omenka.net,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-8pm"",""sun"":""2pm-7pm""}","[""public/uploads/institutions/omenka-gallery/image-1.webp""]"
Rele Gallery,ART_GALLERY,Dynamic contemporary art gallery founded by Adenrele Sonariwo in 2015. Known for championing emerging African artists with international reach including spaces in London and LA.,"32 Thompson Avenue, Ikoyi, Lagos",ISLAND,6.4489,3.4221,https://www.rele.co,+2348093215460,,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}",[]
Bloom Art,ART_GALLERY,"Intimate art salon and studio space by Ugoma Adegoke. Works by appointment only, focused on contemporary Nigerian art.","Flat 11 Century Flats, 275 Kofo Abayomi Street, Victoria Island, Lagos",ISLAND,6.4281,3.4119,https://www.bloomartlagos.com,+2347034030683,ugoma@bloomartlagos.com,"{""mon"":""by appointment"",""tue"":""by appointment"",""wed"":""by appointment"",""thu"":""by appointment"",""fri"":""by appointment"",""sat"":""by appointment"",""sun"":""closed""}",[]
Terra Kulture,CULTURAL_SPACE,"Premier Nigerian cultural centre and theatre arts hub founded by Bolanle Austen-Peters in 2003. Houses gallery, restaurant, bookstore, language school and theatre.","Plot 1376 Tiamiyu Savage Street, Victoria Island, Lagos",ISLAND,6.4251,3.4268,https://terrakulture.com,+23412700588,info@terrakulture.com,"{""mon"":""9am-10pm"",""tue"":""9am-10pm"",""wed"":""9am-10pm"",""thu"":""9am-10pm"",""fri"":""9am-10pm"",""sat"":""9am-10pm"",""sun"":""12pm-10pm""}",[]
Art Twenty One,ART_GALLERY,Sophisticated contemporary art space inside Eko Hotel & Suites. Showcases African and diaspora contemporary art and design. Founded 2014.,"Eko Hotel & Suites, 1415 Adetokunbo Ademola Street, Victoria Island, Lagos",ISLAND,6.4309,3.4195,https://arttwentyone.ng,+234114606190,info@art21lagos.com,"{""mon"":""by appointment"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}",[]
Bogobiri House,CULTURAL_SPACE,"African-themed boutique hotel and cultural hub in Ikoyi featuring an art gallery, live music, poetry nights and restaurant. Co-owned by Nimbus Gallery's Chike Nwagbogu.","9 Maitama Sule Street, Off Awolowo Road, Ikoyi, Lagos",ISLAND,6.4433,3.4242,https://bogobiri.com,+2347068176454,info@bogobiri.com,"{""mon"":""8am-11pm"",""tue"":""8am-11pm"",""wed"":""8am-11pm"",""thu"":""8am-11pm"",""fri"":""8am-11pm"",""sat"":""8am-11pm"",""sun"":""8am-11pm""}",[]
Thought Pyramid Art Center,ART_GALLERY,"Innovative multi-floor art gallery and cultural hub founded in 2007 by Jeff Ajeushi. Features paintings, sculptures, installations and a restaurant. Located in a distinctive pyramid-style building.","96 Norman Williams Street, South West Ikoyi, Lagos",ISLAND,6.4489,3.4302,https://thoughtpyramidartcentre.com,+2349060008531,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""1pm-6pm"",""sun"":""closed""}",[]
Ko Art Space,ART_GALLERY,Intimate contemporary art gallery founded by Kavita Chellaram. Champions Nigeria's leading modern artists alongside emerging contemporary African talent. Distinctive art deco interior.,"36 Cameron Road Flat 1A, Ikoyi, Lagos",ISLAND,6.4468,3.4198,https://ko-artspace.com,+2347030728371,info@ko-artspace.com,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}","[""public/uploads/institutions/ko-art-space/image-1.webp""]"
Tiwani Contemporary,ART_GALLERY,International contemporary gallery with 2000 sq ft white cube space with 7m+ walls. Founded 2011 by Maria Varnava. Champions African and diaspora artists globally with spaces also in London.,"13 Elsie Femi Pearse Street, Victoria Island, Lagos",ISLAND,6.4289,3.4189,https://tiwani.co.uk,+2348130519602,info@tiwani.co.uk,"{""mon"":""closed"",""tue"":""12pm-6pm"",""wed"":""12pm-6pm"",""thu"":""12pm-6pm"",""fri"":""12pm-6pm"",""sat"":""12pm-6pm"",""sun"":""closed""}","[""public/uploads/institutions/tiwani-contemporary/image-1.webp""]"
